"KO","log2FoldChange","log2CPM","PValue","FDR","level","descri","text"
"K00754",2.06318617667282,10.5482299024328,6.73227134983443e-08,5.7675664929352e-06,"LbGP","bshA; L-malate glycosyltransferase [EC:2.4.1.-]","bshA; L-malate glycosyltransferase [EC:2.4.1.-]"
"K07263",-1.72198598510839,9.8567334407109,7.38603932472917e-08,5.7675664929352e-06,"DSS","pqqL; zinc protease [EC:3.4.24.-]","pqqL; zinc protease [EC:3.4.24.-]"
"K02453",-3.18784733025541,8.29698708782395,7.81512374268765e-08,5.7675664929352e-06,"DSS","gspD; general secretion pathway protein D","gspD; general secretion pathway protein D"
"K05595",-1.43672794788565,10.5610448548546,8.32984361058042e-08,5.7675664929352e-06,"DSS","marC; multiple antibiotic resistance protein","marC; multiple antibiotic resistance protein"
"K02744",6.26257740182343,5.34221186713083,8.56302309089973e-08,5.7675664929352e-06,"LbGP","PTS-Aga-EIIA, agaF; PTS system, N-acetylgalactosamine-specific IIA component [EC:2.7.1.-]","PTS-Aga-EIIA, agaF; PTS system, N-acetylgalactosamine-specific IIA component [EC:2.7.1.-]"
"K02746",6.26257740182343,5.34221186713083,8.56302309089973e-08,5.7675664929352e-06,"LbGP","PTS-Aga-EIIC, agaW; PTS system, N-acetylgalactosamine-specific IIC component","PTS-Aga-EIIC, agaW; PTS system, N-acetylgalactosamine-specific IIC component"
"K17074",6.26257740182343,5.34221186713083,8.56302309089973e-08,5.7675664929352e-06,"LbGP","lysX2; putative lysine transport system permease protein","lysX2; putative lysine transport system permease protein"
"K18348",6.26257740182343,5.34221186713083,8.56302309089973e-08,5.7675664929352e-06,"LbGP","vanT; serine/alanine racemase [EC:5.1.1.18 5.1.1.1]","vanT; serine/alanine racemase [EC:5.1.1.18 5.1.1.1]"
"K02558",-1.80776100032974,9.02544167811874,1.24578493063862e-07,5.7675664929352e-06,"DSS","mpl; UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]","mpl; UDP-N-acetylmuramate: L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase [EC:6.3.2.45]"
"K00030",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]","IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]"
"K00074",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]",NA
"K00248",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","ACADS, bcd; butyryl-CoA dehydrogenase [EC:1.3.8.1]",NA
"K01026",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","pct; propionate CoA-transferase [EC:2.8.3.1]",NA
"K01299",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","E3.4.17.19; carboxypeptidase Taq [EC:3.4.17.19]",NA
"K01303",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","APEH; acylaminoacyl-peptidase [EC:3.4.19.1]",NA
"K01304",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","pcp; pyroglutamyl-peptidase [EC:3.4.19.3]",NA
"K01444",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","AGA, aspG; N4-(beta-N-acetylglucosaminyl)-L-asparaginase [EC:3.5.1.26]",NA
"K01715",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","crt; enoyl-CoA hydratase [EC:4.2.1.17]",NA
"K02082",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","agaS; tagatose-6-phosphate ketose/aldose isomerase [EC:5.-.-.-]",NA
"K02745",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","PTS-Aga-EIIB, agaV; PTS system, N-acetylgalactosamine-specific IIB component [EC:2.7.1.-]",NA
"K02747",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","PTS-Aga-EIID, agaE; PTS system, N-acetylgalactosamine-specific IID component",NA
"K02765",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","PTS-Dgl-EIIC, gamP; PTS system, D-glucosamine-specific IIC component",NA
"K04767",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","acuB; acetoin utilization protein AcuB",NA
"K05350",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","bglB; beta-glucosidase [EC:3.2.1.21]",NA
"K05363",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","murM; serine/alanine adding enzyme [EC:2.3.2.10]",NA
"K07650",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","cssS; two-component system, OmpR family, sensor histidine kinase CssS [EC:2.7.13.3]",NA
"K07770",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","cssR; two-component system, OmpR family, response regulator CssR",NA
"K08093",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","hxlA; 3-hexulose-6-phosphate synthase [EC:4.1.2.43]",NA
"K08094",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","hxlB; 6-phospho-3-hexuloisomerase [EC:5.3.1.27]",NA
"K09002",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","csm3; CRISPR-associated protein Csm3",NA
"K09775",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","K09775; uncharacterized protein",NA
"K10670",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","grdA; glycine/sarcosine/betaine reductase complex component A [EC:1.21.4.2 1.21.4.3 1.21.4.4]",NA
"K10708",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","frlB; fructoselysine 6-phosphate deglycase [EC:3.5.-.-]",NA
"K10711",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","frlR; GntR family transcriptional regulator, frlABCD operon transcriptional regulator",NA
"K11694",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","femA; peptidoglycan pentaglycine glycine transferase (the second and third glycine) [EC:2.3.2.17]",NA
"K11695",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","femB; peptidoglycan pentaglycine glycine transferase (the fourth and fifth glycine) [EC:2.3.2.18]",NA
"K16789",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","thiT; thiamine transporter",NA
"K17073",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","lysX1; putative lysine transport system substrate-binding protein",NA
"K17076",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","K17076, lysY; putative lysine transport system ATP-binding protein [EC:3.6.3.-]",NA
"K18704",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","tarL; CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47]",NA
"K18856",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","vanC, vanE, vanG; D-alanine---D-serine ligase [EC:6.3.2.35]",NA
"K18887",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","efrA; ATP-binding cassette, subfamily B, multidrug efflux pump",NA
"K18888",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","efrB; ATP-binding cassette, subfamily B, multidrug efflux pump",NA
"K19505",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","gfrR; sigma-54 dependent transcriptional regulator, gfr operon transcriptional activator",NA
"K19507",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","PTS-Gfr-EIIB, gfrB; PTS system, fructoselysine/glucoselysine-specific IIB component [EC:2.7.1.-]",NA
"K19508",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","PTS-Gfr-EIIC, gfrC; PTS system, fructoselysine/glucoselysine-specific IIC component",NA
"K19509",6.26284571061822,4.34625742585308,1.41337613971327e-07,5.7675664929352e-06,"LbGP","PTS-Gfr-EIID, gfrD; PTS system, fructoselysine/glucoselysine-specific IID component",NA
"K01251",-2.33856411116749,9.29517773507729,1.46760441093694e-07,5.88559975834365e-06,"DSS","E3.3.1.1, ahcY; adenosylhomocysteinase [EC:3.3.1.1]",NA
"K00658",-1.72338244969112,9.3372452817411,2.55703937849697e-07,9.75822946445097e-06,"DSS","DLST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) [EC:2.3.1.61]",NA
"K03644",-1.72338244969112,9.3372452817411,2.55703937849697e-07,9.75822946445097e-06,"DSS","lipA; lipoyl synthase [EC:2.8.1.8]",NA
"K02067",-1.3536545200276,9.90141805854556,2.55912294639514e-07,9.75822946445097e-06,"DSS","mlaD, linM; phospholipid/cholesterol/gamma-HCH transport system substrate-binding protein",NA
"K00925",1.42127205791553,10.450393555524,2.68577290059146e-07,1.00759802689931e-05,"LbGP","ackA; acetate kinase [EC:2.7.2.1]",NA
"K01788",1.45797882986896,9.9156919480364,3.16673323928314e-07,1.16917801818612e-05,"LbGP","nanE; N-acylglucosamine-6-phosphate 2-epimerase [EC:5.1.3.9]",NA
"K15977",-1.80507441118273,9.43355626332498,4.68580111417523e-07,1.70299584243306e-05,"DSS","K15977; putative oxidoreductase",NA
"K00029",-1.37891561965421,9.67959900563774,5.04832260438356e-07,1.7525967728054e-05,"DSS","E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]",NA
"K02065",-1.37891561965421,9.67959900563774,5.04832260438356e-07,1.7525967728054e-05,"DSS","mlaF, linL, mkl; phospholipid/cholesterol/gamma-HCH transport system ATP-binding protein",NA
"K02066",-1.37891561965421,9.67959900563774,5.04832260438356e-07,1.7525967728054e-05,"DSS","mlaE, linK; phospholipid/cholesterol/gamma-HCH transport system permease protein",NA
"K18139",-1.32276251924008,9.72515066272593,6.65647977537464e-07,2.27690764081197e-05,"DSS","oprM, emhC, ttgC, cusC, adeK, smeF, mtrE, cmeC, gesC; outer membrane protein, multidrug efflux system",NA
"K02035",2.33841090494366,10.9412887387697,7.43466512330106e-07,2.50623638794178e-05,"LbGP","ABC.PE.S; peptide/nickel transport system substrate-binding protein",NA
"K07071",-1.90097818125547,9.22675421995834,7.7984423136362e-07,2.59131097450254e-05,"DSS","K07071; uncharacterized protein",NA
"K01966",-2.0316135249485,9.16198205549134,9.89170650637228e-07,3.24057877941154e-05,"DSS","PCCB, pccB; propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]",NA
"K07148",-1.55355499670688,10.1762731290278,1.11013185313451e-06,3.58634262554287e-05,"DSS","K07148; uncharacterized protein",NA
"K00016",1.89899464848738,9.71648059869447,1.71936355415633e-06,5.47841044790084e-05,"LbGP","LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]",NA
"K00968",-2.29810591444593,8.48590088227429,1.8303872097419e-06,5.52257683688175e-05,"DSS","PCYT1; choline-phosphate cytidylyltransferase [EC:2.7.7.15]",NA
"K05337",-2.29810591444593,8.48590088227429,1.8303872097419e-06,5.52257683688175e-05,"DSS","fer; ferredoxin",NA
"K07315",-2.29810591444593,8.48590088227429,1.8303872097419e-06,5.52257683688175e-05,"DSS","rsbU_P; phosphoserine phosphatase RsbU/P [EC:3.1.3.3]",NA
"K03704",1.61378547717482,9.92606268896106,1.93189031007872e-06,5.52257683688175e-05,"LbGP","cspA; cold shock protein (beta-ribbon, CspA family)",NA
"K02794",2.9138546388122,9.81225003746378,2.05399563854988e-06,5.52257683688175e-05,"LbGP","PTS-Man-EIIB, manX; PTS system, mannose-specific IIB component [EC:2.7.1.191]",NA
"K01447",-2.21512916718457,9.99955994675301,2.11232146355261e-06,5.52257683688175e-05,"DSS","xlyAB; N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]",NA
"K00156",-2.05717964023115,8.58804356636152,2.77938820687469e-06,5.52257683688175e-05,"DSS","poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]",NA
"K00104",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","glcD; glycolate oxidase [EC:1.1.3.15]",NA
"K00166",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","BCKDHA, bkdA1; 2-oxoisovalerate dehydrogenase E1 component alpha subunit [EC:1.2.4.4]",NA
"K00167",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","BCKDHB, bkdA2; 2-oxoisovalerate dehydrogenase E1 component beta subunit [EC:1.2.4.4]",NA
"K00185",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","K00185; prokaryotic molybdopterin-containing oxidoreductase family, membrane subunit",NA
"K00641",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]",NA
"K00683",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","QPCT; glutaminyl-peptide cyclotransferase [EC:2.3.2.5]",NA
"K00966",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","GMPP; mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]",NA
"K01135",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","ARSB; arylsulfatase B [EC:3.1.6.12]",NA
"K01596",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","E4.1.1.32, pckA, PCK; phosphoenolpyruvate carboxykinase (GTP) [EC:4.1.1.32]",NA
"K01598",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","PPCDC, coaC; phosphopantothenoylcysteine decarboxylase [EC:4.1.1.36]",NA
"K01922",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","PPCS, COAB; phosphopantothenate---cysteine ligase (ATP) [EC:6.3.2.51]",NA
"K02291",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","crtB; 15-cis-phytoene synthase [EC:2.5.1.32]",NA
"K02584",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","nifA; Nif-specific regulatory protein",NA
"K06019",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","ppaX; pyrophosphatase PpaX [EC:3.6.1.1]",NA
"K06045",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","shc; squalene-hopene/tetraprenyl-beta-curcumene cyclase [EC:5.4.99.17 4.2.1.129]",NA
"K07221",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","oprO_P; phosphate-selective porin OprO and OprP",NA
"K07239",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","TC.HME; heavy-metal exporter, HME family",NA
"K07267",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","oprB; porin",NA
"K07276",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","K07276; uncharacterized protein",NA
"K07318",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","K07318; adenine-specific DNA-methyltransferase [EC:2.1.1.72]",NA
"K08282",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","E2.7.11.1; non-specific serine/threonine protein kinase [EC:2.7.11.1]",NA
"K09769",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","K09769; uncharacterized protein",NA
"K09778",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","K09778; uncharacterized protein",NA
"K09819",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","ABC.MN.P; manganese/iron transport system permease protein",NA
"K09820",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","ABC.MN.A; manganese/iron transport system ATP-binding protein",NA
"K09928",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","K09928; uncharacterized protein",NA
"K09940",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","K09940; uncharacterized protein",NA
"K09949",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","K09949; uncharacterized protein",NA
"K10536",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","aguA; agmatine deiminase [EC:3.5.3.12]",NA
"K10800",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","SMUG1; single-strand selective monofunctional uracil DNA glycosylase [EC:3.2.2.-]",NA
"K11705",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","mtsC; iron/zinc/manganese/copper transport system permease protein",NA
"K11706",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","mtsB; iron/zinc/manganese/copper transport system ATP-binding protein",NA
"K11710",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","troB, mntB, znuC; manganese/zinc/iron transport system ATP- binding protein",NA
"K17733",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","cwlK; peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]",NA
"K18094",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","mexX, amrA; membrane fusion protein, multidrug efflux system",NA
"K18095",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","mexY, amrB; multidrug efflux pump",NA
"K18121",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","GLYR; glyoxylate/succinic semialdehyde reductase [EC:1.1.1.79 1.1.1.-]",NA
"K18554",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","cpt; chloramphenicol 3-O phosphotransferase [EC:2.7.1.-]",NA
"K18901",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","bpeE; membrane fusion protein, multidrug efflux system",NA
"K19097",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","blaVEB; beta-lactamase class A VEB [EC:3.5.2.6]",NA
"K19117",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","csd1, cas8c; CRISPR-associated protein Csd1",NA
"K19118",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","csd2, cas7; CRISPR-associated protein Csd2",NA
"K19119",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","cas5d; CRISPR-associated protein Cas5d",NA
"K19405",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","mcsB; protein arginine kinase [EC:2.7.14.1]",NA
"K19411",-3.98421332454287,7.17206328134781,2.96785083667334e-06,5.52257683688175e-05,"DSS","mcsA; protein arginine kinase activator",NA
"K01902",-1.76430092228586,8.75657232593018,3.06418616603831e-06,5.6120448993741e-05,"DSS","sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]",NA
"K01903",-1.76430092228586,8.75657232593018,3.06418616603831e-06,5.6120448993741e-05,"DSS","sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]",NA
"K10947",1.27579083247488,10.2590217450438,3.14250100078738e-06,5.71051353736832e-05,"LbGP","padR; PadR family transcriptional regulator, regulatory protein PadR",NA
"K01676",-1.34572071459141,9.47183069905941,3.64479083337823e-06,6.43482765393271e-05,"DSS","E4.2.1.2A, fumA, fumB; fumarate hydratase, class I [EC:4.2.1.2]",NA
"K04564",-1.34572071459141,9.47183069905941,3.64479083337823e-06,6.43482765393271e-05,"DSS","SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]",NA
"K02761",3.1628363421001,9.28148391030485,3.67788954770686e-06,6.43482765393271e-05,"LbGP","PTS-Cel-EIIC, celB, chbC; PTS system, cellobiose-specific IIC component",NA
"K07220",5.57961361076021,5.20606234266955,3.70708041972048e-06,6.43482765393271e-05,"LbGP","K07220; uncharacterized protein",NA
"K08717",5.57961361076021,5.20606234266955,3.70708041972048e-06,6.43482765393271e-05,"LbGP","utp; urea transporter",NA
"K19286",5.57961361076021,5.20606234266955,3.70708041972048e-06,6.43482765393271e-05,"LbGP","nfrA2; FMN reductase [NAD(P)H] [EC:1.5.1.39]",NA
"K00265",-1.41456397550268,9.41736905162539,4.37027743582499e-06,6.60082163359022e-05,"DSS","gltB; glutamate synthase (NADPH/NADH) large chain [EC:1.4.1.13 1.4.1.14]",NA
"K00606",-1.41456397550268,9.41736905162539,4.37027743582499e-06,6.60082163359022e-05,"DSS","panB; 3-methyl-2-oxobutanoate hydroxymethyltransferase [EC:2.1.2.11]",NA
"K00748",-1.41456397550268,9.41736905162539,4.37027743582499e-06,6.60082163359022e-05,"DSS","lpxB; lipid-A-disaccharide synthase [EC:2.4.1.182]",NA
